Date;Open;High;Low;Close;Adj Close;Volume
2013-06-17;61.634285;62.242859;61.48;61.714287;48.4132;64853600
2013-06-18;61.651428;62.128571;61.458572;61.681427;48.387424;48756400
2013-06-19;61.628571;61.665714;60.42857;60.42857;47.404587;77735000
2013-06-20;59.900002;60.854286;59.310001;59.548573;46.714264;89327700
2013-06-21;59.784286;60;58.299999;59.07143;46.339951;120279600
2013-06-22;58.200001;58.380001;56.864285;57.505714;45.111698;120186500
2013-06-23;57.957142;58.255714;56.975716;57.51857;45.121765;78540700
2013-06-24;57.700001;57.827145;56.522858;56.867142;44.610741;91931000
2013-06-25;57.035713;57.341427;56.220001;56.254284;44.129971;84311500
2013-06-26;55.908573;57.181427;55.552856;56.647144;44.438164;144629100
2013-06-27;57.527142;58.895714;57.317142;58.459999;45.860298;97763400
2013-06-28;58.565716;60.232857;58.495716;59.784286;46.899162;117466300
2013-07-03;60.122856;60.425713;59.635715;60.114285;47.158039;60232200
2013-07-05;60.055714;60.470001;59.335712;59.631428;46.779251;68506200
2013-07-08;60.015713;60.142857;58.664288;59.292858;46.51366;74534600
2013-07-09;59.085712;60.5;58.625713;60.335712;47.331741;88146100
2013-07-10;59.942856;60.685715;59.75;60.104286;47.150196;70351400
2013-07-11;60.421429;61.17857;60.167141;61.041428;47.885357;81573100
2013-07-12;61.092857;61.398571;60.487144;60.93;47.797943;69890800
2013-07-15;60.715714;61.637142;60.685715;61.062859;47.902172;60479300
2013-07-16;60.931427;61.529999;60.595715;61.457142;48.211479;54134500
2013-07-17;61.385715;61.745716;61.174286;61.472858;48.223812;49747600
2013-07-18;61.91143;62.124287;61.515713;61.68;48.386299;54719700
2013-07-19;61.871429;61.997143;60.621429;60.707142;47.623127;67180400
2013-07-22;61.351429;61.392857;60.781429;60.901428;47.775539;51949100
2013-07-23;60.857143;60.994286;59.815716;59.855713;46.955208;92348900
2013-07-24;62.704285;63.512856;62.18;62.93;49.366905;147984200
2013-07-25;62.957142;63.057144;62.258572;62.642857;49.14164;57373400
2013-07-26;62.185715;63.005714;62.048573;62.998573;49.420692;50038100
2013-07-29;62.971428;64.284286;62.885715;63.970001;50.182755;62014400
2013-07-30;64.279999;65.307144;64.175713;64.760002;50.802479;77355600
2013-07-31;64.998573;65.334282;64.204285;64.647141;50.713947;80739400
2013-08-01;65.10714;65.257141;64.751427;65.239998;51.17902;51562700
2013-08-02;65.43;66.121429;65.237144;66.077141;51.835732;68695900
2013-08-05;66.384285;67.238571;66.021431;67.064285;52.610134;79713900
2013-08-06;66.860001;67.412857;66.024284;66.464287;52.139446;83714400
2013-08-07;66.257141;66.714287;65.96714;66.425713;52.109192;74714500
2013-08-08;66.265717;66.300003;65.421425;65.858574;54.150658;63944300
2013-08-09;65.519997;65.779999;64.807144;64.921425;53.380112;66716300
2013-08-12;65.265717;66.949997;65.232857;66.765717;54.896542;91108500
2013-08-13;67.277145;70.665718;66.864288;69.938568;57.505344;220485300
2013-08-14;71.125717;72.035713;70.485718;71.214287;58.554276;189093100
2013-08-15;70.917145;71.771431;69.868568;71.129997;58.484966;122573500
2013-08-16;71.449997;71.848572;71.265717;71.761429;59.004147;90576500
2013-08-19;72.048569;73.391426;72;72.534286;59.639614;127629600
2013-08-20;72.815712;72.938568;71.545715;71.581429;58.856155;89672100
2013-08-21;71.941429;72.449997;71.599998;71.765717;59.007671;83969900
2013-08-22;72.139999;72.227142;71.171425;71.851425;59.078148;61051900
2013-08-23;71.895714;71.907143;71.335716;71.574287;58.850273;55682900
2013-08-26;71.535713;72.885712;71.5;71.852859;59.079327;82741400
2013-08-27;71.14286;71.78714;69.471428;69.798569;57.390232;106047200
2013-08-28;69.428574;70.828575;69.428574;70.128571;57.661564;76902000
2013-08-29;70.235718;70.928574;70.16143;70.242859;57.755524;59914400
2013-08-30;70.285713;70.421425;69.5;69.602859;57.229309;68074300
2013-09-03;70.442856;71.514282;69.621429;69.797142;57.389057;82982200
2013-09-04;71.365715;71.748573;70.897141;71.241432;58.576588;86258200
2013-09-05;71.464287;71.525711;70.519997;70.752853;58.174866;59091900
